A,B,Link Size
DuPont,Alliance for Abundant Food and Energy,2
Monsanto,Alliance for Abundant Food and Energy,2
American Advertising Federation,Alliance for American Advertising,2
American Association of Advertising Agencies,Alliance for American Advertising,2
General Mills,Alliance for American Advertising,2
Kellogg,Alliance for American Advertising,2
Kraft,Alliance for American Advertising,2
American Farm Bureau Federation,Alliance for Better Foods,2
American Meat Institute,Alliance for Better Foods,2
BSMG Worldwide,Alliance for Better Foods,2
Citizens Against Government Waste,Alliance for Better Foods,2
Corn Refiners Association,Alliance for Better Foods,2
Food Marketing Institute,Alliance for Better Foods,2
Grocery Manufacturers of America,Alliance for Better Foods,2
National Association of Manufacturers,Alliance for Better Foods,2
National Restaurant Association,Alliance for Better Foods,2
Sugar Association,Alliance for Better Foods,2
U.S. Chamber of Commerce,Alliance for Better Foods,2
Albert and Ethel Herzstein Charitable Foundation,Alliance for Choice in Education,2
Anschutz Fortune,Alliance for Choice in Education,2
Hertog Fortune,Alliance for Choice in Education,2
Alan Miller,Alliance for Responsible Citizenship,2
Arthur Brooks,Alliance for Responsible Citizenship,2
AstraZeneca,Alliance for Responsible Citizenship,2
Ayaan Hirsi Ali,Alliance for Responsible Citizenship,2
Ben Shapiro,Alliance for Responsible Citizenship,2
Bjørn Lomborg,Alliance for Responsible Citizenship,2
Blackstone,Alliance for Responsible Citizenship,2
BP,Alliance for Responsible Citizenship,2
Chris Wright,Alliance for Responsible Citizenship,2
Christopher Chandler,Alliance for Responsible Citizenship,2
Citadel,Alliance for Responsible Citizenship,2
Dan Crenshaw,Alliance for Responsible Citizenship,2
Daniel Hannan,Alliance for Responsible Citizenship,2
Deloitte,Alliance for Responsible Citizenship,2
Derick Cooper,Alliance for Responsible Citizenship,2
Douglas Murray,Alliance for Responsible Citizenship,2
Energy Transfer,Alliance for Responsible Citizenship,2
Fraser Nelson,Alliance for Responsible Citizenship,2
GB News,Alliance for Responsible Citizenship,2
John Howard,Alliance for Responsible Citizenship,2
Jordan Peterson,Alliance for Responsible Citizenship,2
Kemi Badenoch,Alliance for Responsible Citizenship,2
Kevin McCarthy,Alliance for Responsible Citizenship,2
Kevin Roberts,Alliance for Responsible Citizenship,2
KKR,Alliance for Responsible Citizenship,2
Koch Inc,Alliance for Responsible Citizenship,2
Legatum,Alliance for Responsible Citizenship,2
Matthew Elliott,Alliance for Responsible Citizenship,2
McKinsey,Alliance for Responsible Citizenship,2
Meta,Alliance for Responsible Citizenship,2
Michael Gove,Alliance for Responsible Citizenship,2
Mike Johnson,Alliance for Responsible Citizenship,2
Mike Lee,Alliance for Responsible Citizenship,2
Niall Ferguson,Alliance for Responsible Citizenship,2
Nigel Farage,Alliance for Responsible Citizenship,2
Palantir,Alliance for Responsible Citizenship,2
Paul Marshall,Alliance for Responsible Citizenship,2
Peter Thiel,Alliance for Responsible Citizenship,2
Philippa Stroud,Alliance for Responsible Citizenship,2
Rick Perry,Alliance for Responsible Citizenship,2
Sequoia Trust,Alliance for Responsible Citizenship,2
Tony Abbott,Alliance for Responsible Citizenship,2
Valero Energy,Alliance for Responsible Citizenship,2
Victor Davis Hanson,Alliance for Responsible Citizenship,2
Vivek Ramaswamy,Alliance for Responsible Citizenship,2
Betsy DeVos,Alliance for School Choice,2
Clint Bolick,Alliance for School Choice,2
Derrick Max,Alliance for Worker Retirement Security,2
Derrick Max,Alliance for Worker Retirement Security,2
Glover Park Group,Alliance of Automobile Manufacturers,2
Goddard Claussen,Alliance of Automobile Manufacturers,2
Joe Craft,Alliance Resource Partners,2
Joseph Craft,Alliance Resource Partners,2
Scott Pruitt,Alliance Resource Partners,2
Diana Taylor,Allianz,2
Gavin Anderson & Company,Allianz,2
Rob Allyn,Allyn & Company,2
Akin Gump,Alston & Bird,2
Blanche Lincoln,Alston & Bird,2
Bob Dole,Alston & Bird,2
Jody Hunt,Alston & Bird,2
Robert Davis McCallum,Alston & Bird,2
Todd Zywicki,Alston & Bird,2
Tom Daschle,Alston & Bird,2
Tom Scully,Alston & Bird,2
Alexey Reznikovich,Altimo,2
MegaFon,Altimo,2
Vnesheconombank,Altimo,2
Alan Katzenstein,Altria,2
Alan Miller,Altria,2
Allan Topol,Altria,2
Andrew Whist,Altria,2
APCO Worldwide,Altria,2
"Bell, McAndrews & Hiltachk",Altria,2
Bergner Bockorny Castagnetti Hawkins & Brain,Altria,2
Berman & Company,Altria,2
Bivings Group,Altria,2
Bob Tollison,Altria,2
BSMG Worldwide,Altria,2
Covington & Burling,Altria,2
Craig Fuller,Altria,2
Derek Crawford,Altria,2
Dolphin Group,Altria,2
Edelman,Altria,2
Ellen Merlo,Altria,2
Ellen Merlo,Altria,2
ENVIRON Corp,Altria,2
Fred Newman,Altria,2
Fred Newman,Altria,2
Geoff Bible,Altria,2
Geoff Bible,Altria,2
George Berman,Altria,2
Gibson Dunn,Altria,2
Haley Barbour,Altria,2
Hill & Knowlton,Altria,2
Jack Kemp,Altria,2
Jim Lindheim,Altria,2
Jim Tozzi,Altria,2
John D. Graham,Altria,2
Joseph Bast,Altria,2
Lynton Crosby,Altria,2
Mayada Logue,Altria,2
Mayada Logue,Altria,2
National Smoker's Alliance,Altria,2
Peter Huber,Altria,2
Roy Marden,Altria,2
Ted Olson,Altria,2
Theodor D. Sterling & Associates,Altria,2
Theodor Sterling,Altria,2
Thomas Borelli,Altria,2
Thomas Humber,Altria,2
Thorne Auchter,Altria,2
Thorne Auchter,Altria,2
Tom E. Davis,Altria,2
Walter Olson,Altria,2
NSO Group,Aman,2
Yigal Carmon,Aman,2
Alston & Bird,Amazon,2
Dan Crenshaw,Amazon,2
Indra Nooyi,Amazon,2
Jamie Gorelick,Amazon,2
Jeff Bezos,Amazon,2
Marjorie Taylor Green,Amazon,2
SKDK,Amazon,2
Lisa Lisker,America 2100,2
Marco Rubio,America 2100,2
Michael Needham,America 2100,2
Mike Needham,America 2100,2
Nate Hochman,America 2100,2
BH Fund,America Engaged,2
Boyden Gray,America Engaged,2
Frank Scaturro,America Engaged,2
Holtzman Vogel,America Engaged,2
Jonathan Bunch,America Engaged,2
Jonathan Bunch,America Engaged,2
Leonard Leo,America Engaged,2
Leonard Leo,America Engaged,2
Neil Corkery,America Engaged,2
Rule of Law Trust,America Engaged,2
Todd Graves,America Engaged,2
Todd Graves,America Engaged,2
America First Works,America First Action,2
Brian Walsh,America First Action,2
Cerberus,America First Action,2
Diane Hendricks,America First Action,2
Disney,America First Action,2
Hendricks Fortune,America First Action,2
Irving Moskowitz Foundation,America First Action,2
Joseph Craft Fortune,America First Action,2
Karen Wright,America First Action,2
Mellon Scaife Fortune,America First Action,2
New York Jets,America First Action,2
Richard Uihlein,America First Action,2
Timothy Mellon,America First Action,2
Uihlein Fortune,America First Action,2
Woody Johnson,America First Action,2
America First Policy Institute,America First Legal,2
Convention of States,America First Legal,2
Elon Musk,America First Legal,2
Ian Prior,America First Legal,2
Katie Miller,America First Legal,2
Lee Zeldin,America First Legal,2
Matthew Whitaker,America First Legal,2
Reed Rubinstein,America First Legal,2
Russell Vought,America First Legal,2
Stephen Miller,America First Legal,2
Tim Dunn,America First Legal,2
Tim Dunn Fortune,America First Legal,2
America First Action,America First Policies,2
Brad Parscale,America First Policies,2
Carl Higbie,America First Policies,2
Corey Lewandowski,America First Policies,2
Dow Chemical,America First Policies,2
Rick Gates,America First Policies,2
Southern Company,America First Policies,2
America First Legal,America First Policy Institute,2
America First Works,America First Policy Institute,2
Bill Dunn Fortune,America First Policy Institute,2
Brooke Rollins,America First Policy Institute,2
Chad Wolf,America First Policy Institute,2
Committee To Unleash Prosperity,America First Policy Institute,2
Convention of States,America First Policy Institute,2
Deramus Foundation,America First Policy Institute,2
DonorsTrust/Donors Capital Fund,America First Policy Institute,2
Doug Collins,America First Policy Institute,2
Fidelity Investments Charitable Gift Fund,America First Policy Institute,2
Goldman Sachs,America First Policy Institute,2
Hertog Fortune,America First Policy Institute,2
Hill Fortune,America First Policy Institute,2
Jackson Howard Foundation,America First Policy Institute,2
James Baehr,America First Policy Institute,2
James Sherk,America First Policy Institute,2
James Sherk,America First Policy Institute,2
John Ratcliffe,America First Policy Institute,2
Kash Patel,America First Policy Institute,2
Kevin Hassett,America First Policy Institute,2
Kristi Noem,America First Policy Institute,2
Larry Kudlow,America First Policy Institute,2
Lee Zeldin,America First Policy Institute,2
Linda McMahon,America First Policy Institute,2
Matthew Whitaker,America First Policy Institute,2
Michael Faulkender,America First Policy Institute,2
Morgan Stanley,America First Policy Institute,2
National Christian Charitable Foundation,America First Policy Institute,2
Newt Gingrich,America First Policy Institute,2
Oliver McPherson-Smith,America First Policy Institute,2
Pam Bondi,America First Policy Institute,2
Randolph Foundation,America First Policy Institute,2
Scott Turner,America First Policy Institute,2
Searle Fortune,America First Policy Institute,2
Servant Foundation,America First Policy Institute,2
Stephen Yates,America First Policy Institute,2
Texas Public Policy Foundation,America First Policy Institute,2
Tim Dunn,America First Policy Institute,2
Tim Dunn Fortune,America First Policy Institute,2
Vanguard Charitable Endowment Program,America First Policy Institute,2
David Duke,America First Political Action Conference,2
Gavin McInnes,America First Political Action Conference,2
Jared Taylor,America First Political Action Conference,2
Joe Arpaio,America First Political Action Conference,2
Kari Lake,America First Political Action Conference,2
Laura Loomer,America First Political Action Conference,2
Marjorie Taylor Greene,America First Political Action Conference,2
Michelle Malkin,America First Political Action Conference,2
Milo Yiannopoulos,America First Political Action Conference,2
Nick Fuentes,America First Political Action Conference,2
Paul Gosar,America First Political Action Conference,2
Peter Brimelow,America First Political Action Conference,2
Scott Greer,America First Political Action Conference,2
Steve King,America First Political Action Conference,2
Tom Homan,America First Political Action Conference,2
America First Action,America First Works,2
American Action Forum,America First Works,2
American Action Network,America First Works,2
Brian Walsh,America First Works,2
Brooke Rollins,America First Works,2
Convention of States,America First Works,2
DonorsTrust/Donors Capital Fund,America First Works,2
Dow Chemical,America First Works,2
Heritage Foundation for America,America First Works,2
Larry Kudlow,America First Works,2
Linda McMahon,America First Works,2
Moms for America,America First Works,2
Pharmaceutical Research and Manufacturers of America,America First Works,2
Timothy Mellon,America First Works,2
Antonio Gracias,America PAC,2
Cameron Winklevoss,America PAC,2
Donald Trump,America PAC,2
Douglas Leone,America PAC,2
Elon Musk,America PAC,2
Joe Lonsdale,America PAC,2
Joseph Craft Fortune,America PAC,2
Shaun Maguire,America PAC,2
Synapse Group,America PAC,2
Turning Point USA Action,America PAC,2
Tyler Winklevoss,America PAC,2
Allison Barber,America Supports You,2
Tom E. Davis,America Supports You,2
Adam Brandon,America's Frontline Doctors,2
James Bopp,America's Frontline Doctors,2
Jenny Beth Martin,America's Frontline Doctors,2
Lisa Nelson,America's Frontline Doctors,2
Stephen Moore,America's Frontline Doctors,2
Tea Party Patriots,America's Frontline Doctors,2
Matt Warner,America’s Future,2
Michael Flynn,America’s Future,2
Peter Lipsett,America’s Future,2
Diana Davis Spencer Foundation,America's Future Foundation,2
Roe Fortune,America's Future Foundation,2
Uihlein Fortune,America's Future Foundation,2
Anschutz Fortune,America’s Future Foundation,2
DonorsTrust/Donors Capital Fund,America’s Future Foundation,2
JM Foundation,America’s Future Foundation,2
Roe Fortune,America’s Future Foundation,2
Aubrey McClendon,America's Natural Gas Alliance,2
Bill Dunn Fortune,American Accountability Foundation,2
Brian Darling,American Accountability Foundation,2
Center for Renewing America,American Accountability Foundation,2
Club for Growth,American Accountability Foundation,2
Concord Fund/85 Fund,American Accountability Foundation,2
Conservative Partnership Institute,American Accountability Foundation,2
DonorsTrust/Donors Capital Fund,American Accountability Foundation,2
Ed Corrigan,American Accountability Foundation,2
Fidelity Investments Charitable Gift Fund,American Accountability Foundation,2
Goldman Sachs Charitable Gift Fund,American Accountability Foundation,2
Heritage Foundation,American Accountability Foundation,2
National Christian Charitable Foundation,American Accountability Foundation,2
Tom Jones,American Accountability Foundation,2
DonorsTrust/Donors Capital Fund,American Action Forum,2
Doug Holtz-Eakin,American Action Forum,2
Peterson Fortune,American Action Forum,2
Annual Fund,American Action Network,2
Business Roundtable,American Action Network,2
Dan Conston,American Action Network,2
Dan Donston,American Action Network,2
Doug Holtz-Eakin,American Action Network,2
Ed Gillespie,American Action Network,2
Fred Malek,American Action Network,2
GEO Group,American Action Network,2
Jeb Bush,American Action Network,2
Karl Rove,American Action Network,2
Ken Langone,American Action Network,2
Norm Coleman,American Action Network,2
PhRMA,American Action Network,2
Republican Jewish Coalition,American Action Network,2
Retail Industry Leaders Association,American Action Network,2
Robert Steel,American Action Network,2
U.S. Chamber of Commerce,American Action Network,2
Wellspring Committee,American Action Network,2
Arthur Liebler,American Advertising Federation,2
Laurence Boschetto,American Advertising Federation,2
David Senter,American Agriculture Movement,2
Joan Senter,American Agriculture Movement,2
Ogilvy,American Agriculture Movement,2
Allyn & Company,American Airlines,2
Linda Hall,American Airlines,2
Chuck Colson,American Alliance of Jews and Christians,2
Gary Bauer,American Alliance of Jews and Christians,2
James Dobson,American Alliance of Jews and Christians,2
Jerry Falwell,American Alliance of Jews and Christians,2
Meir Soloveichik,American Alliance of Jews and Christians,2
Pat Robertson,American Alliance of Jews and Christians,2
Rick Scarborough,American Alliance of Jews and Christians,2
Freedom to Advertise Coalition,American Association of Advertising Agencies,2
Chrysler,American Automotive Policy Council,2
Matt Blunt,American Automotive Policy Council,2
Coca-Cola,American Beverage Association,2
PepsiCo,American Beverage Association,2
Berman & Company,American Beverage Institute,2
John Doyle,American Beverage Institute,2
NegligentDriving.com,American Beverage Institute,2
Rick Berman,American Beverage Institute,2
Sarah Longwell,American Beverage Institute,2
Nina Rosenwald,American Center for Democracy,2
Rachel Ehrenfeld,American Center for Democracy,2
Richard Perle,American Center for Democracy,2
Christian Advocates Serving Evangelism,American Center for Law & Justice,2
Jay Sekulow,American Center for Law & Justice,2
Jordan Sekulow,American Center for Law & Justice,2
Pat Robertson,American Center for Law & Justice,2
Sam Nunberg,American Center for Law & Justice,2
Jack Gerard,American Chemistry Council,2
Bill Dunn Fortune,American Civil Rights Institute,2
DonorsTrust/Donors Capital Fund,American Civil Rights Institute,2
Ward Connerly,American Civil Rights Institute,2
American Electric Power,American Coal Ash Association,2
American Electric Power,American Coal Ash Association,2
Duke Energy,American Coal Ash Association,2
Duke Energy,American Coal Ash Association,2
Southern Company,American Coal Ash Association,2
Southern Company,American Coal Ash Association,2
TransAlta,American Coal Ash Association,2
Gregory Boyce,American Coalition for Clean Coal Electricity,2
John W. Snow,American Coalition for Clean Coal Electricity,2
Scott Pruitt,American Coalition for Clean Coal Electricity,2
Arch Coal,American Coalition for Clean Coal Electricity ,2
Duke Energy,American Coalition for Clean Coal Electricity ,2
Joe Craft,American Coalition for Clean Coal Electricity ,2
Murray Energy,American Coalition for Clean Coal Electricity ,2
Peabody Energy,American Coalition for Clean Coal Electricity ,2
Southern Company,American Coalition for Clean Coal Electricity ,2
Western Fuels Association,American Coalition for Clean Coal Electricity ,2
American Family Association,American College of Pediatricians,2
Association of American Physicians and Surgeons,American College of Pediatricians,2
Discovery Institute,American College of Pediatricians,2
Ethics and Public Policy Center,American College of Pediatricians,2
Family Policy Alliance,American College of Pediatricians,2
Family Research Council,American College of Pediatricians,2
Focus On the Family,American College of Pediatricians,2
Gays Against Groomers,American College of Pediatricians,2
Moms for Liberty,American College of Pediatricians,2
American Encore,American Commitment,2
Freedom and Opportuntity Fund,American Commitment,2
Koch Network,American Commitment,2
Sean Noble,American Commitment,2
Beck & Stone,American Compass,2
Jamieson Greer,American Compass,2
JD Vance,American Compass,2
JD Vance,American Compass,2
Klingenstein Fortune,American Compass,2
Marco Rubio,American Compass,2
Michael Needham,American Compass,2
Mike Needham,American Compass,2
Andrew Cuff,American Conservative,2
Ben Domenech,American Conservative,2
Kare Kwiatkowski,American Conservative,2
Philip Giraldi,American Conservative,2
Rod Dreher,American Conservative,2
Ron Unz,American Conservative,2
Steve Sailer,American Conservative,2
Taki Theodoracopulos,American Conservative,2
Uihlein Fortune,American Conservative,2
Bill Dunn Fortune,American Conservative Union,2
James Lankford,American Conservative Union,2
Matt Schlapp,American Conservative Union,2
Richard Viguerie,American Conservative Union,2
Anschutz Fortune,American Conservative Union Foundation,2
Concord Fund/85 Fund,American Conservative Union Foundation,2
DonorsTrust/Donors Capital Fund,American Conservative Union Foundation,2
Koch Network,American Conservative Union Foundation,2
Walgreens,American Continental Group,2
Ben Carson,American Cornerstone Institute,2
Scott Turner,American Cornerstone Institute,2
Uihlein Fortune,American Cornerstone Institute,2
Chris Epps,American Correctional Association,2
Damon Hininger,American Correctional Association,2
Irb Benjamin,American Correctional Association,2
Thomas Beasley,American Correctional Association,2
Andrew Card,American Council for Capital Formation,2
Bill Archer,American Council for Capital Formation,2
Don Nickles,American Council for Capital Formation,2
George Schultz,American Council for Capital Formation,2
John Engler,American Council for Capital Formation,2
John Engler,American Council for Capital Formation,2
Kenneth Duberstein,American Council for Capital Formation,2
Mark Weinberger,American Council for Capital Formation,2
Mike Burita,American Council for Capital Formation,2
Red Cavaney,American Council for Capital Formation,2
Edelman,American Council for Fitness and Nutrition,2
Grocery Manufacturers of America,American Council for Fitness and Nutrition,2
Kraft,American Council for Fitness and Nutrition,2
